visitorid,num_items_viewed,view_count,num_items_added,items_added,bought_count,purchased
172,22,33,2,3,2,1
186,1,2,1,1,1,1
264,2,3,2,2,2,1
419,3,4,1,1,1,1
539,1,4,1,2,1,1
627,12,17,1,1,1,1
795,7,14,1,1,1,1
914,1,1,1,1,1,1
964,1,6,1,1,1,1
1032,3,5,1,1,1,1
1636,2,2,0,0,1,1
1765,2,11,1,2,1,1
2019,8,27,3,3,2,1
2133,1,1,1,1,1,1
2216,1,3,1,1,1,1
2242,10,17,1,1,1,1
2468,1,2,1,1,1,1
2519,3,14,1,1,1,1
2598,2,2,1,2,1,1
2646,4,7,1,1,1,1
2807,2,4,0,0,1,1
3048,0,0,1,1,1,1
3104,15,44,2,2,2,1
3171,1,2,1,1,1,1
3174,3,3,1,1,1,1
3251,1,1,1,1,1,1
3258,7,18,3,6,2,1
3404,2,6,1,1,1,1
3465,2,2,3,3,3,1
3581,1,1,1,1,1,1
3847,2,3,1,1,1,1
3896,1,1,1,1,1,1
3926,4,8,2,2,3,1
3936,9,14,2,2,1,1
4061,1,2,1,1,1,1
4101,14,18,4,4,4,1
4113,6,15,1,1,1,1
4115,2,4,2,3,1,1
4241,1,1,1,1,1,1
4368,1,8,1,1,1,1
4537,2,5,1,3,2,1
4606,2,3,2,2,2,1
4694,2,2,2,2,2,1
4899,1,4,1,1,1,1
5042,5,7,2,3,3,1
5061,1,1,1,1,1,1
5117,5,9,1,1,1,1
5207,2,10,1,1,1,1
5423,1,1,1,1,1,1
5703,2,6,2,2,2,1
5939,2,2,1,1,1,1
6029,18,27,1,1,1,1
6190,1,1,1,1,1,1
6265,0,0,0,0,1,1
6390,0,0,2,2,1,1
6431,1,2,1,1,1,1
6468,6,10,4,4,4,1
6618,1,2,1,1,1,1
6699,66,92,8,8,4,1
6750,1,7,1,1,1,1
6855,1,2,1,1,1,1
6911,1,1,1,1,1,1
6952,5,8,3,3,3,1
6955,1,1,1,1,1,1
6958,47,77,16,185,4,1
7016,3,5,2,2,2,1
7244,1,1,2,2,1,1
7330,3,3,1,1,1,1
7633,1,4,1,1,1,1
7773,1,1,0,0,1,1
7969,5,15,1,1,1,1
8043,4,6,2,2,2,1
8083,1,6,1,1,1,1
8314,1,1,0,0,1,1
8411,5,7,2,2,2,1
8516,6,7,1,1,1,1
8670,1,10,1,1,1,1
8731,4,5,2,2,2,1
8876,1,1,1,1,1,1
8914,9,35,1,2,1,1
9079,3,4,2,2,2,1
9099,2,4,1,1,1,1
9145,8,11,5,9,3,1
9155,0,0,2,2,1,1
9235,1,1,0,0,1,1
9498,3,4,1,1,1,1
9519,1,1,1,1,1,1
10023,6,7,2,2,2,1
10248,1,1,1,1,1,1
10443,1,1,1,1,1,1
10539,4,7,1,1,1,1
10560,3,3,0,0,1,1
10685,1,1,1,1,1,1
11172,3,4,1,1,1,1
11209,7,13,4,5,4,1
11248,4,6,4,4,3,1
11287,1,2,1,1,1,1
11333,24,47,3,3,2,1
11438,1,2,1,1,1,1
11462,9,18,1,1,1,1
11508,2,4,1,1,1,1
12046,1,2,1,9,1,1
12067,3,4,0,0,1,1
12134,0,0,1,1,1,1
12148,18,25,3,3,3,1
12295,1,3,1,1,1,1
12356,52,60,1,1,1,1
12506,2,3,1,2,2,1
12579,91,140,22,23,2,1
13151,4,4,3,3,3,1
13240,1,1,1,1,1,1
13455,5,13,2,3,3,1
13764,1,3,1,1,1,1
13833,7,11,3,3,3,1
14618,1,2,1,1,1,1
14796,1,2,1,2,1,1
14885,4,4,1,1,1,1
14903,1,3,1,1,1,1
15218,1,1,0,0,1,1
15299,1,4,1,1,1,1
15318,1,1,1,1,1,1
15653,9,15,1,2,2,1
15852,1,1,1,1,1,1
16158,1,3,1,1,1,1
16357,1,3,1,1,1,1
16655,6,7,2,2,2,1
16766,1,1,1,1,1,1
16945,1,1,1,1,1,1
16975,1,1,1,1,1,1
17028,8,15,1,1,1,1
17067,1,5,1,1,1,1
17476,12,20,9,12,7,1
17569,1,1,1,1,1,1
17591,6,11,2,2,2,1
17629,5,6,2,3,2,1
17676,146,179,49,53,42,1
17746,2,2,1,1,1,1
17800,2,2,1,1,1,1
17857,7,10,1,1,1,1
17970,3,4,1,1,1,1
18024,8,15,0,0,1,1
18029,1,1,1,1,1,1
18032,1,1,1,1,1,1
18060,1,7,1,2,1,1
18195,1,2,1,2,1,1
18197,3,10,2,2,1,1
18424,12,21,2,4,2,1
18573,15,19,3,3,3,1
18688,2,2,1,1,1,1
19052,2,4,1,1,1,1
19206,2,2,1,2,1,1
19268,2,2,1,1,1,1
19500,0,0,1,1,1,1
19506,3,15,1,2,1,1
19512,1,1,0,0,1,1
19832,11,17,1,1,1,1
19967,27,29,1,1,1,1
20099,3,8,0,0,1,1
